<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.04	14:08:38	13.2410	13.2410	13.2405	13.2405	2	0	199
2025.02.04	14:08:39	13.2412	13.2412	13.2405	13.2412	3	0	200
2025.02.04	14:08:40	13.2405	13.2410	13.2405	13.2410	3	0	199
2025.02.04	14:08:41	13.2405	13.2412	13.2402	13.2402	3	0	199
2025.02.04	14:08:42	13.2410	13.2410	13.2405	13.2405	2	0	199
2025.02.04	14:08:45	13.2412	13.2412	13.2407	13.2410	3	0	200
2025.02.04	14:08:46	13.2412	13.2412	13.2412	13.2412	1	0	200
2025.02.04	14:08:53	13.2425	13.2437	13.2425	13.2437	2	0	199
2025.02.04	14:08:57	13.2440	13.2440	13.2440	13.2440	1	0	199
2025.02.04	14:08:59	13.2437	13.2440	13.2437	13.2440	2	0	199
2025.02.04	14:09:01	13.2437	13.2437	13.2432	13.2432	3	0	199
2025.02.04	14:09:02	13.2437	13.2437	13.2435	13.2435	2	0	199
2025.02.04	14:09:03	13.2437	13.2437	13.2437	13.2437	1	0	199
2025.02.04	14:09:12	13.2442	13.2442	13.2442	13.2442	1	0	200
2025.02.04	14:09:14	13.2447	13.2447	13.2445	13.2445	2	0	199
2025.02.04	14:09:17	13.2442	13.2442	13.2442	13.2442	1	0	200
2025.02.04	14:09:18	13.2445	13.2445	13.2420	13.2430	4	0	199
2025.02.04	14:09:21	13.2427	13.2427	13.2422	13.2422	2	0	200
2025.02.04	14:09:22	13.2420	13.2427	13.2420	13.2422	3	0	199
2025.02.04	14:09:27	13.2430	13.2430	13.2430	13.2430	1	0	199
2025.02.04	14:09:31	13.2412	13.2412	13.2402	13.2405	3	0	200
2025.02.04	14:09:32	13.2410	13.2410	13.2410	13.2410	1	0	199
2025.02.04	14:09:33	13.2412	13.2412	13.2410	13.2410	2	0	200
2025.02.04	14:09:36	13.2412	13.2427	13.2412	13.2425	3	0	200
2025.02.04	14:09:37	13.2427	13.2427	13.2425	13.2425	2	0	200
2025.02.04	14:09:38	13.2427	13.2427	13.2425	13.2425	2	0	200
2025.02.04	14:09:39	13.2427	13.2427	13.2425	13.2425	4	0	200
2025.02.04	14:09:41	13.2420	13.2425	13.2420	13.2422	3	0	199
2025.02.04	14:09:42	13.2417	13.2427	13.2417	13.2427	3	0	199
2025.02.04	14:09:43	13.2425	13.2427	13.2425	13.2427	2	0	199
2025.02.04	14:09:44	13.2425	13.2425	13.2415	13.2415	2	0	199
2025.02.04	14:09:48	13.2417	13.2425	13.2417	13.2425	5	0	199
2025.02.04	14:09:49	13.2422	13.2422	13.2422	13.2422	1	0	199
2025.02.04	14:09:51	13.2425	13.2425	13.2425	13.2425	1	0	199
2025.02.04	14:09:56	13.2420	13.2420	13.2417	13.2417	2	0	199
2025.02.04	14:09:59	13.2420	13.2420	13.2417	13.2417	2	0	199
2025.02.04	14:10:01	13.2412	13.2420	13.2412	13.2412	3	0	200
2025.02.04	14:10:02	13.2410	13.2410	13.2402	13.2402	4	0	199
2025.02.04	14:10:03	13.2400	13.2400	13.2387	13.2387	2	0	199
2025.02.04	14:10:04	13.2395	13.2395	13.2382	13.2382	5	0	199
2025.02.04	14:10:16	13.2370	13.2375	13.2367	13.2372	5	0	199
2025.02.04	14:10:17	13.2370	13.2372	13.2367	13.2370	4	0	199
2025.02.04	14:10:20	13.2372	13.2372	13.2372	13.2372	1	0	199
2025.02.04	14:10:21	13.2377	13.2377	13.2377	13.2377	1	0	199
2025.02.04	14:10:22	13.2380	13.2382	13.2380	13.2382	2	0	199
